Freshness,Review
rotten," The muddled mental states of the characters (and that of the audience) are mirrored by the film's visual style, which oscillates between languorous dreamscapes and frenetic action sequences."
fresh," The Big Wedding is an occasionally charming and, overall, strangely watchable variation in the dysfunctional wedding comedy subgenre."
fresh," While 'Captain Phillips' is certainly a thrilling, compelling and exceptionally well-made movie in its own right, it doesn't make it to the next level without Hanks."
rotten," A more mean-spirited and tongue-in-cheek B-movie than its predecessors, closer in proudly ""politically incorrect"" spirit to something that East Coast grindhouse rival Troma might vomit out."
fresh," It's easy to poke fun at some of the more far-fetched scenes and, at times, cheesy dialogue, but this is still one hell of an action movie."
rotten," This is a superficial film, a condensation of an entire season of a TV sitcom."
rotten," About the only good call in The Girl on the Train was the casting, which gives us two hours of Emily Blunt shredding her soul, soaking it in vodka, and then setting it on fire. The rest is a mawkish, retrograde misfire."
fresh," The Drop is the last film Gandolfini made before his death. As send-offs go, it ain't too shabby."
fresh," It's sweet and superficial, but the meandering pace and lively characters make it just about watchable."
fresh," Technically, artistically and emotionally, this is a topflight British offering."
fresh, Wild is Cheryl Strayed's trip of self-discovery. It is getting an Oscar buzz for Reese Witherspoon. She's good but Laura Dern's work as Strayed's mom is much more deserving.
rotten," While the performances are strong in this coming-of-age drama, it suffers from being too familiar and predictable, with wobbly, hand-held camerawork continually breaking the storytelling's spell. "
fresh," The Matrix Reloaded is not the end all be all of movies. Nothing is. But it's great. It out-Matrixes the original Matrix with its fight scenes, car chase and philosophical insight."
fresh, Even merely very good Stephen Chow makes you realize how little joy emanates from most of Hollywood's outsized blockbusters.
fresh," An attempt to highlight just how unjust is the ""Land of Freedom"". [Full review in Spanish]"
rotten, Any hope of sneaky commentary or ironic appropriation of porn's tawdry incompetence disappears long before Deen's pants. 
fresh," It's a thinking person's teen flick, a feel-good film that earns its earnestness. It's got the-little-film-that-could spirit that could see it succeed like Little Miss Sunshine, but for my money it's the better of the two..."
rotten, Blended could well be Coraci and Sandler's most abject collaboration to date.
rotten," Importation of modern sensibilities into olden times is the gimmick, but now and then, MacFarlane forgets himself and just has fun. Once or twice, he even seems to feel something."
rotten, 'The Eagle' will likely find a future life on the video shelves of high school history teachers looking for a semi-educational way to kill a couple of days worth of classes.
rotten," The film could have worked if it had embraced the illicit fantasy at its core... But Aniello shies away, never finding a tone that would allow her to fuse edgy black comedy with the genre's mandatory celebration of female friendship."
rotten," The movie's hot, bathed in an erotic glow, but horribly empty."
fresh, A very moving heartfelt film.
rotten," While The Pyjama Girl Case follows the usual giallo patterns...Mogherini's dialogue and character development leave a lot to be desired, and his direction favours interesting compositions over cohesive storytelling. "
fresh," A little stylised, but still a genuinely creepy tale worth watching."
fresh, Rourke's mesmerising performance is the heart and soul of an existential exploration of self-definition locked on a sports flick.
rotten," The problem is, that half the time I laughed myself silly, while the other half, I was egregiously offended."
fresh, The King's Speech is the kind of production that makes you ask: why can't every film be made this way?
rotten," For the most part, the actors never sync up with Luhrmann's jitterbug rhythm."
rotten," Aiming for mass appeal, 'Risen' falls short of its target. "
fresh, Disobedience provides a sensitive portrait of immigration by showing the precise ways returnees can feel like foreigners in places that were once their homes... But other beats are delivered with the subtlety of a sledgehammer.
fresh," Eco-terrorism drives the plot of The East, but this propulsive thriller is laced with a humanism that trumps any political agenda."
rotten, Lisa Immordino Vreeland's avoidance of a serious analytical bent ends up stifling the documentary.
rotten," A Nashville wannabe without Robert Altman's subtle wit, Bobby is an ambitious attempt by writer-director Emilio Estevez to capture a turbulent era through a single historic event."
rotten, Excruciating stuff.
rotten, It's intriguing material that [screenwriter Brian] Helgeland offers but so insistent on condemnation and vast conspiracy theories that we lose an authentic sense of damage.
fresh, A breezily paced car chase film that does exactly what it says on the label.
fresh," By turns trashy, poignant and gut-bustingly funny, and often all three at once. "
rotten," Wondering what's real and what's just a carefully crafted crock doesn't make ""Scotty and the Secret History of Hollywood"" a better experience. It makes it a little pointless and frustrating."
rotten," Everyone involved, including the audience, deserves a better movie than this, and for fans of the book, it's possible some out there might not find the film version a disappointment, but like everything else in ""Dark Places"" that seems unlikely. "
